ricoId,definition
rico:AccumulationRelation,Recordressource/Instanz-Akteur-Bestandsbildung
rico:Activity,Aktivität
rico:ActivityDocumentationRelation,Recordressource/Instanz-Aktivität
rico:ActivityType,Aktivitätskategorie
rico:Agent,Akteur
rico:AgentControlRelation,Akteur-Kontrolle-Akteur
rico:AgentHierarchicalRelation,Akteur-Hierarchie-Akteur
rico:AgentName,Akteursname
rico:AgentTemporalRelation,Akteur-Nachfolge
rico:AgentToAgentRelation,Akteur-Akteur
rico:Appellation,Bezeichnung
rico:AppellationRelation,Bezeichnung-Ding
rico:AuthorityRelation,Akteur-Autorität-Ding
rico:AuthorshipRelation,Record-Autor-Akteur
rico:CarrierExtent,Datenträgerumfang
rico:CarrierType,Datenträgerkategorie
rico:ChildRelation,Person-Kind
rico:Concept,Konzept
rico:ContentType,Inhaltskategorie
rico:Coordinates,Koordinaten
rico:CorporateBody,Körperschaft
rico:CorporateBodyType,Körperschaftskategorie
rico:CorrespondenceRelation,Person-Korrespondenz-Person
rico:CreationRelation,Recordressource/Instanz-Erstellung-Akteur
rico:Date,Datum
rico:DateType,Datumskategorie
rico:DemographicGroup,Demographische Gruppe
rico:DerivationRelation,Instanz-Derivat-Instanz
rico:DescendanceRelation,Person-Nachkommen
rico:DocumentaryFormType,Dokumentenkategorie
rico:Event,Ereignis
rico:EventRelation,Ereignis-Ding
rico:EventType,Ereigniskategorie
rico:Extent,Umfang
rico:ExtentType,Umfangskategorie
rico:Family,Familie
rico:FamilyRelation,Person-Familie-Person
rico:FamilyType,Familienkategorie
rico:FunctionalEquivalenceRelation,Repräsentation-Äquivalent-Repräsentation
rico:Group,Gruppe
rico:GroupSubdivisionRelation,Gruppe-Untergruppe
rico:Identifier,Identifikator
rico:IdentifierType,Identifikatorenkategorie
rico:Instantiation,Repräsentation oder Instanz
rico:InstantiationExtent,Umfang der Instanz|Repräsentation
rico:InstantiationToInstantiationRelation,Instanz|Repräsentation-Instanz|Repräsentation
rico:IntellectualPropertyRightsRelation,Akteur-Urheberschaft-Recordressource/Instanz
rico:KnowingOfRelation,Person-Kenntnis-Person
rico:KnowingRelation,Person-Bekanntschaft-Person
rico:Language,Sprache
rico:LeadershipRelation,Person-Führung-Person
rico:LegalStatus,Rechtstatus
rico:ManagementRelation,Akteur-Management-Recordressource/Instanz
rico:Mandate,Mandat
rico:MandateRelation,Mandat-Akteur
rico:MandateType,Mandatkategorie
rico:Mechanism,Mechanismus
rico:MembershipRelation,Gruppe-Mitgliedschaft-Person
rico:MigrationRelation,Repräsentation-Migration-Repräsentation
rico:Name,Name
rico:OccupationType,Beschäftigungskategorie
rico:OrganicOrFunctionalProvenanceRelation,Recordressource/Instanz-Herkunft-Akteur/Funktion
rico:OrganicProvenanceRelation,Recordressource/Instanz-Herkunft-Akteur
rico:OwnershipRelation,Gruppe/Person/Position-Besitz-Ding
rico:PerformanceRelation,Aktivität-Ausführung-Akteur
rico:Person,Person
rico:PhysicalLocation,Standort
rico:Place,Geografikum
rico:PlaceName,Geografikumsname
rico:PlaceRelation,Geografikum-Ding
rico:PlaceType,Geografikumskategorie
rico:Position,Position
