ricoId,definition
rico:AccumulationRelation,"Connects at least one Record Resource or Instantiation to at least one Agent, when the Record Resource or Instantiation is or was accumulated by the Agent, be it intentionally (collecting it) or not (receiving it in the course of its activities). The Record Resource(s) or Instantiation(s) is the source of the Relation, and the Agent(s) is the target."
rico:Activity,The doing of something for some human purpose.
rico:ActivityDocumentationRelation,"Connects at least one Record Resource or Instantiation to at least one Activity, when the Record Resource or Instantiation results from the Activity. The Record Resource(s) or Instantiation(s) is the source of the Relation, and the Activity(-ies) is the target."
rico:ActivityType,Categorization of an Activity.
rico:Agent,"A Person, or Group, or an entity created by a Person or Group (Mechanism), or a Position, that acts in the world."
rico:AgentControlRelation,"Connects at least one Agent, to at least another Agent, when the first one(s) control(s) or controlled in a way the activities of the second one(s). The Relation is oriented from the controlling agent to the controlled one: the controlling Agent(s) is the source of the Relation, and the controlled Agent(s) is the target."
rico:AgentHierarchicalRelation,"Connects at least one Agent to at least another Agent, when the first one is or was hierarchically superior to the second one. The Relation is oriented towards the 'bottom' of the hierarchical tree: the superior Agent(s) is the source of the Relation, and the inferior Agent(s) is the target."
rico:AgentName,"A label, title or term designating an Agent in order to make it distinguishable from other similar entities."
rico:AgentTemporalRelation,"Connects at least one Agent to at least another Agent that succeeds it chronologically for, for instance, fullfilling some functions or performing some activities. The Relation is oriented chronologically, from the predecessor to the successor: the predecessor Agent(s) is the source of the Relation, and the successor Agent(s) is the target."
rico:AgentToAgentRelation,"Connects at least two Agents. This Relation is a generic, not oriented one."
rico:Appellation,A concept of any kind that is used for designating an Entity and referring to it.
rico:AppellationRelation,Connects an Appellation and at least one Thing that the Appellation designates or designated. The Appellation is the source of the Relation and the Thing(s) is the target.
rico:AuthorityRelation,"Connects at least one Agent and at least one Thing over which the Agent has or had some authority. The Agent(s) is the source of the relation, and the Thing(s) is the target."
rico:AuthorshipRelation,"Connects at least one Record to at least one Person, Group or Position that is or was responsible for conceiving and formulating the information contained in the Record. The Record is the source of the Relation and the Person(s), Group(s) or Position(s) is the target."
rico:CarrierExtent,Number of physical units and/or physical dimensions of the carrier of an Instantiation.
rico:CarrierType,Categorization of physical material on which information is represented.
