ricoId,Label
rico:AccumulationRelation,Relation d’accumulation
rico:Activity,Activité
rico:ActivityDocumentationRelation,Relation entre activités et ressources archivistiques
rico:ActivityType,Type d’activité
rico:Agent,Agent
rico:AgentControlRelation,Relation de contrôle entre agents
rico:AgentHierarchicalRelation,Relation hiérarchique entre agents
rico:AgentName,Nom d’agent
rico:AgentTemporalRelation,Relation temporelle entre agents
rico:AgentToAgentRelation,Relation entre agents
rico:Appellation,Appellation
rico:AppellationRelation,Relation d’appellation
rico:AuthorityRelation,Relation d’autorité
rico:AuthorshipRelation,Relation de responsabilité intellectuelle
rico:CarrierExtent,Mesure d’un support
rico:CarrierType,Type de support
rico:ChildRelation,Relation de filiation
rico:Concept,Concept
rico:ContentType,Type de contenu
rico:Coordinates,Coordonnées géographiques
rico:CorporateBody,Collectivité
rico:CorporateBodyType,Type de collectivité
rico:CorrespondenceRelation,Relation épistolaire
rico:CreationRelation,Relation de création
rico:Date,Date
rico:DateType,Type de date
rico:DemographicGroup,Groupe démographique
rico:DerivationRelation,Relation de dérivation
rico:DescendanceRelation,Relation de descendance
rico:DocumentaryFormType,Type de document
rico:Event,Événement
rico:EventRelation,Relation impliquant un événement
rico:EventType,Type d’événement
rico:Extent,Dimension
rico:ExtentType,Type de mesure
rico:Family,Famille
rico:FamilyRelation,Relation familiale
rico:FamilyType,Type de famille
rico:FunctionalEquivalenceRelation,Relation d’équivalence fonctionnelle
rico:Group,Groupe d’agents
rico:GroupSubdivisionRelation,Relation de subdivision entre groupes d’agents
rico:Identifier,Identifiant
rico:IdentifierType,Type d’identifiant
rico:Instantiation,Instanciation
rico:InstantiationExtent,Mesure d’une instanciation
rico:InstantiationToInstantiationRelation,Relation entre instanciations
rico:IntellectualPropertyRightsRelation,Relation de propriété intellectuelle
rico:KnowingOfRelation,Relation de connaissance à propos d’une personne
rico:KnowingRelation,Relation de connaissance entre personnes
rico:Language,Langue
rico:LeadershipRelation,Relation de direction
rico:LegalStatus,Statut légal
rico:ManagementRelation,Relation de gestion
rico:Mandate,Mandat
rico:MandateRelation,Relation impliquant un mandat
rico:MandateType,Type de mandat
rico:Mechanism,Système
rico:MembershipRelation,Relation d’appartenance
rico:MigrationRelation,Relation de migration
rico:Name,Nom
rico:OccupationType,Type d’occupation
rico:OrganicOrFunctionalProvenanceRelation,Relation de provenance organique ou fonctionnelle
rico:OrganicProvenanceRelation,Relation de provenance organique
rico:OwnershipRelation,Relation de propriété
rico:PerformanceRelation,Relation entre activités et agents
rico:Person,Personne
rico:PhysicalLocation,Localisation physique
rico:Place,Lieu
rico:PlaceName,Nom de lieu
rico:PlaceRelation,Relation impliquant un lieu
rico:PlaceType,Type de lieu
rico:Position,Poste occupé
rico:PositionHoldingRelation,Relation entre une personne et un poste
rico:PositionToGroupRelation,Relation entre un poste et un groupe
rico:ProductionTechniqueType,Type de technique de production
rico:Proxy,Proxy
rico:Record,Objet informationnel
rico:RecordPart,Partie d’objet informationnel
rico:RecordResource,Ressource archivistique
rico:RecordResourceExtent,Mesure d’une ressource archivistique
rico:RecordResourceGeneticRelation,Relation génétique entre des ressources archivistiques
rico:RecordResourceHoldingRelation,Relation entre agents et ressources archivistiques ou instanciations conservées
rico:RecordResourceToInstantiationRelation,Relation d’instanciation
rico:RecordResourceToRecordResourceRelation,Relation entre ressources archivistiques
rico:RecordSet,Ensemble d’objets informationnels
rico:RecordSetType,Type d’ensemble d’objets informationnels
rico:RecordState,État d’un objet informationnel
rico:Relation,Relation
rico:RepresentationType,Type de représentation
rico:RoleType,Type de rôle
rico:Rule,Règle
rico:RuleRelation,Relation impliquant une règle
rico:RuleType,Type de règle
rico:SequentialRelation,Relation séquentielle
rico:SiblingRelation,Relation de fratrie
rico:SpouseRelation,Relation matrimoniale
rico:StudyAtRelation,Relation entre institution d’enseignement et étudiants
